# Results for training distributions calculated by paper2_02_distributions.m 
# --> table in appendix of paper2 
# 
# Date: 20-Dec-2021 
# 
# Comparison of categories: none,device (reha) 
# Tick mode: 1 (single ticks) 
# Log-likelihood normalization: cat 
# Cross validation: 1 
# 
# m = 1: cafpas (N_m = 214  215  214  215  223  223  220  205  223  222) 
# 
# Parameter 1 CA1 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           2       cafpas         beta       device          155        0.290          nan        0.110          nan        1.000          nan        -3.79        -3.79 

# m = 3: cafpas (N_m = 223  223  223  223  223  223  223  223  223  223) 
# 
# Parameter 1 CA1 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           3       cafpas         beta         none           68        0.099          nan        0.083          nan        1.000          nan        -3.27        -3.71 
           3       cafpas         beta       device          155        0.269          nan        0.168          nan        1.000          nan        -4.14        -3.71 
# 
# Parameter 2 CA2 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           3       cafpas         beta         none           68        0.126          nan        0.072          nan        1.000          nan        -3.30        -3.71 
           3       cafpas         beta       device          155        0.336          nan        0.153          nan        1.000          nan        -4.12        -3.71 
# 
# Parameter 3 CA3 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           3       cafpas         beta         none           68        0.231          nan        0.093          nan        1.000          nan        -3.62        -3.84 
           3       cafpas         beta       device          155        0.499          nan        0.142          nan        1.000          nan        -4.07        -3.84 
# 
# Parameter 4 CA4 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           3       cafpas         beta         none           68        0.384          nan        0.160          nan        1.000          nan        -4.17        -4.08 
           3       cafpas         beta       device          155        0.668          nan        0.133          nan        1.000          nan        -3.98        -4.08 
# 
# Parameter 5 CU1 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           3       cafpas         beta         none           68        0.172          nan        0.053          nan        1.000          nan        -3.07        -3.51 
           3       cafpas         beta       device          155        0.337          nan        0.126          nan        1.000          nan        -3.94        -3.51 
# 
# Parameter 6 CU2 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           3       cafpas         beta         none           68        0.253          nan        0.087          nan        1.000          nan        -3.56        -3.69 
           3       cafpas         beta       device          155        0.445          nan        0.111          nan        1.000          nan        -3.82        -3.69 
# 
# Parameter 7 CB 
